File Name,Score
1_2404XXXXX11,3.4523348808288574
5_240412499747,5.7338995933532715
6_240412862168,1.0294556617736816
3_240412458202,1.9091280698776245
9_240412648378,0.11362621188163757
11_240412489549,0.6589028835296631
14_240412739245,0.46754729747772217
13_240412843219,2.648745536804199
12_240412452142,2.192807912826538
14_240412736229,1.994840145111084
2_240412555328,2.443464756011963
9_240411120460,1.9916898012161255
10_240411471229,0.10976989567279816
11_240411878025,2.6331138610839844
3_240412893600,0.1120142936706543
8_240412634358,2.8079416751861572
7_2XXXX183,4.358993053436279
7_2404XXXXX27,2.897610664367676
5_240412585571,2.228274345397949
10_240412872324,3.778003215789795
4_240412497793,1.215807557106018
2_240411200603,1.3143826723098755
1_24XXXXXX,4.60486364364624
4_240412425466,1.2486377954483032
6_240411517490,-0.5652760863304138
8_240411879340,1.7463186979293823
12_240412684908,0.16567401587963104
13_240412687140,-0.43993958830833435
